"delay","completeness","OR_CI"
"DTP-D1","DTP-D2","0.972 (0.971, 0.973)"
"HepB-D1","HepB-D2","0.968 (0.966, 0.97)"
"Hib-D1","Hib-D2","0.962 (0.958, 0.965)"
"MCV-D1","MCV-D2","0.986 (0.984, 0.987)"
"OPV-D1","OPV-D2","0.969 (0.967, 0.97)"
"PCV-D1","PCV-D2","0.943 (0.94, 0.946)"
"RV-D1","RV-D2","0.94 (0.938, 0.942)"
"DTP-D1","DTP-D3","0.976 (0.975, 0.977)"
"HepB-D1","HepB-D3","0.969 (0.967, 0.97)"
"Hib-D1","Hib-D3","0.962 (0.959, 0.965)"
"OPV-D1","OPV-D3","0.968 (0.967, 0.97)"
"PCV-D1","PCV-D3","0.953 (0.95, 0.956)"
"RV-D1","RV-D3","0.945 (0.942, 0.947)"
